ANO;ID_ESPACIA;DEPTO;MUNICIPIO;Y_PROP;Y_PROP2;CUL_ILI;GRUPO_ARMA;ACCION_ARMADA;MINAS;INFRACCIONES_H;ACTO_TERRO
2014;15580;BOYACA;QUIPAMA;0,0005021971;0,0505021971;0;0;0;0;0;0
2014;25491;CUNDINAMARCA;NOCAIMA;0,0005020710;0,0505020710;0;0;0;0;0;0
2006;8758;ATLANTICO;SOLEDAD;0,0005017888;0,0505017888;0;1;0;0;143;2
2007;15226;BOYACA;CUITIVA;0,0005012531;0,0505012531;0;0;0;0;0;0
2002;25123;CUNDINAMARCA;CACHIPAY;0,0005006508;0,0505006508;0;1;0;0;9;0
2009;54313;NORTE DE SANTANDER;GRAMALOTE;0,0004998334;0,0504998334;0;0;0;0;0;0
2013;23815;CORDOBA;TUCHIN;0,0004996669;0,0504996669;0;1;0;0;7;0
2009;66001;RISARALDA;PEREIRA;0,0004994895;0,0504994895;0;1;1;0;89;1
2016;54347;NORTE DE SANTANDER;HERRAN;0,0004992511;0,0504992511;0;0;0;0;0;0
2016;5440;ANTIOQUIA;MARINILLA;0,0004982837;0,0504982837;0;0;0;0;4;0
2014;68418;SANTANDER;LOS SANTOS;0,0004973063;0,0504973063;0;0;0;0;0;0
2005;15226;BOYACA;CUITIVA;0,0004972650;0,0504972650;0;0;0;0;0;0
2009;66170;RISARALDA;DOSQUEBRADAS;0,0004969064;0,0504969064;0;1;1;0;5;0
2011;91798;AMAZONAS;TARAPACA;0,0004959088;0,0504959088;0;0;0;0;0;0
2016;52227;NARIÑO;CUMBAL;0,0004954497;0,0504954497;0;0;0;0;14;0
2010;13433;BOLIVAR;MAHATES;0,0004952334;0,0504952334;0;0;0;0;0;0
2016;47541;MAGDALENA;PEDRAZA;0,0004951108;0,0504951108;0;0;0;0;0;0
2012;25407;CUNDINAMARCA;LENGUAZAQUE;0,0004941688;0,0504941688;0;1;0;0;3;0
2015;5376;ANTIOQUIA;LA CEJA;0,0004931434;0,0504931434;0;0;0;0;0;0
2002;68755;SANTANDER;SOCORRO;0,0004928536;0,0504928536;1;1;0;0;2;1
2016;5212;ANTIOQUIA;COPACABANA;0,0004927149;0,0504927149;0;0;0;0;0;0
2003;25645;CUNDINAMARCA;SAN ANTONIO DEL TEQUENDAMA;0,0004924895;0,0504924895;0;1;0;0;13;0
2010;76001;VALLE DEL CAUCA;CALI;0,0004922777;0,0504922777;0;1;1;0;150;11
2015;13647;BOLIVAR;SAN ESTANISLAO;0,0004920957;0,0504920957;0;0;0;0;0;0
2008;8141;ATLANTICO;CANDELARIA;0,0004920453;0,0504920453;0;0;0;0;0;0
2008;15248;BOYACA;EL ESPINO;0,0004909180;0,0504909180;0;0;0;0;0;0
2013;25754;CUNDINAMARCA;SOACHA;0,0004908026;0,0504908026;0;0;1;0;14;1
2002;15516;BOYACA;PAIPA;0,0004907512;0,0504907512;0;1;0;0;6;0
2013;5368;ANTIOQUIA;JERICO;0,0004898359;0,0504898359;0;0;0;0;0;0
2014;25407;CUNDINAMARCA;LENGUAZAQUE;0,0004893804;0,0504893804;0;0;0;0;0;0
2011;5306;ANTIOQUIA;GIRALDO;0,0004889976;0,0504889976;0;0;0;0;0;0
2016;25535;CUNDINAMARCA;PASCA;0,0004889577;0,0504889577;0;0;0;1;0;0
2007;8758;ATLANTICO;SOLEDAD;0,0004888760;0,0504888760;0;1;0;0;114;1
2003;15753;BOYACA;SOATA;0,0004888541;0,0504888541;0;0;0;0;0;1
2015;52001;NARIÑO;PASTO;0,0004886441;0,0504886441;0;0;1;0;0;1
2007;8675;ATLANTICO;SANTA LUCIA;0,0004881621;0,0504881621;0;0;0;0;0;0
2013;15690;BOYACA;SANTA MARIA;0,0004872107;0,0504872107;0;0;0;0;0;0
2009;23182;CORDOBA;CHINU;0,0004871460;0,0504871460;0;1;0;0;25;0
2012;5607;ANTIOQUIA;RETIRO;0,0004864339;0,0504864339;0;0;0;0;0;0
2011;68432;SANTANDER;MALAGA;0,0004859086;0,0504859086;0;0;0;0;0;0
2012;66001;RISARALDA;PEREIRA;0,0004846292;0,0504846292;0;1;1;0;36;0
2015;5212;ANTIOQUIA;COPACABANA;0,0004845445;0,0504845445;0;0;0;0;2;0
2011;5697;ANTIOQUIA;EL SANTUARIO;0,0004844600;0,0504844600;0;1;0;0;8;0
2003;68266;SANTANDER;ENCISO;0,0004842615;0,0504842615;0;0;0;0;0;0
2010;25793;CUNDINAMARCA;TAUSA;0,0004841443;0,0504841443;0;0;0;0;0;0
2003;76497;VALLE DEL CAUCA;OBANDO;0,0004838264;0,0504838264;0;1;1;0;19;0
2013;54347;NORTE DE SANTANDER;HERRAN;0,0004836759;0,0504836759;0;0;0;0;0;0
2004;5264;ANTIOQUIA;ENTRERRIOS;0,0004833837;0,0504833837;0;1;0;0;7;0
2015;44378;LA GUAJIRA;HATONUEVO;0,0004816182;0,0504816182;0;0;0;0;0;0
2008;25758;CUNDINAMARCA;SOPO;0,0004815901;0,0504815901;0;1;0;0;2;0
2011;68406;SANTANDER;LEBRIJA;0,0004808236;0,0504808236;0;0;0;0;0;0
